,index,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,0,12.276753464704473,0.2616382076884425,12.276753464704473,0.2616382076884425,0.5299807854461639,318.48100000000005,286.22499999999997,318.24275568408996,128,0,0.167989369552177,-0.4936010518649111,0.4936010518649111,0.167989369552177,1.0434782608695652,1.7826086956521738,2.4782608695652173,1.689293944523678,449.214407226472,16.330216356929814,14.611179031924804,14.611179031924804,11.292024997884274,9.389610973664237,9.389610973664237,6.66733578628932,6.66733578628932,4.709186883873102,4.709186883873102,3.1923341486826984,3.1923341486826984,-1.35,196976.60259936907,17.995403954017608,10.429293611371802,6.737695147147456,140.5696625672743,9.636772684650527,5.749511833283905,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,26.186202068468653,49.948754765550476,5.563451491696996,32.66197280517665,14.431309868722348,5.783244946364939,0.0,0.0,0.0,58.29031018309871,26.241151182250643,29.828919765543436,0.0,5.749511833283905,9.636772684650527,0.0,5.749511833283905,0.0,32.02439612861558,0.0,0.0,68.64829885886752,24.26546827384644,0.0,0.0,0.0,30.740000000000002,0.0,4.794537184071822,0.0,5.783244946364939,6.4208216229260096,30.885423318332403,51.61444254938121,4.899909730850478,24.26546827384644,6.923737199690624,4.736862953800049,5.727034188688229,0.0,13.870857851199524,0.0,0.8192059479388127,1.1363641211382018,7.686611552028219,9.49636174577815,6.430231259895532,0.0,0.65,23,1,3,0,1,1,1,0,1,2,1,3,10,0,1,1,2,3.287300000000001,94.44120000000007,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
1,1,12.249370176357356,0.21699136999215396,12.249370176357356,0.21699136999215396,0.5342841321191422,328.47600000000006,298.236,328.22710562009,130,0,0.16800690911922733,-0.4935783644644687,0.4935783644644687,0.16800690911922733,1.0,1.75,2.5,1.9828354661656835,663.9363734661472,17.363596551749424,15.230345664371317,15.230345664371317,11.596555450524587,9.087204730856941,9.087204730856941,6.763141132813817,6.763141132813817,4.2523638558010175,4.2523638558010175,2.7137770861308783,2.7137770861308783,-1.8699999999999997,240913.40256550768,18.468394484154953,9.431674049029048,5.64336047083413,145.16233190934892,9.636772684650527,5.749511833283905,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,44.38530327385348,35.392371257240434,5.563451491696996,33.66780395870588,14.431309868722348,16.55569337529453,0.0,0.0,0.0,39.02784531432067,27.246982335779872,41.96165390246666,0.0,5.749511833283905,9.636772684650527,0.0,5.749511833283905,0.0,33.030227282144814,0.0,0.0,49.385833990089495,36.39820241076966,0.0,10.772448428929591,0.0,30.740000000000002,0.0,4.794537184071822,0.0,5.783244946364939,6.4208216229260096,41.65787174726199,24.162374599628507,0.0,30.33183534230805,27.085448233506614,4.736862953800049,5.833583818628461,0.0,13.545542808149778,2.215023849173381,0.802762948840656,1.1283643129429288,12.057387615157275,5.434797414548215,3.8486985168560692,4.133838715703235,0.47619047619047616,24,1,3,0,0,0,2,0,2,2,1,3,10,0,0,0,2,3.5162000000000013,100.21020000000007,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
2,2,11.885490369969537,0.18246881327013065,11.885490369969537,0.18246881327013065,0.5312112344157084,266.361,242.16899999999995,266.17507004809,106,0,0.16798905723541743,-0.4911954349668841,0.4911954349668841,0.16798905723541743,1.1578947368421053,1.8421052631578947,2.4210526315789473,2.398379193348605,373.4820059877595,14.08757566981053,12.069679854082832,12.069679854082832,9.1302289553358,6.759854461667316,6.759854461667316,4.7000456489749,4.7000456489749,2.7288774094719974,2.7288774094719974,1.6077030055910688,1.6077030055910688,-1.3900000000000001,16377.647388825982,15.666785917092561,8.666942290886718,6.360307167455909,114.86432837832733,14.373635638450576,12.356393797796823,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,31.189205473537065,12.170333456209914,33.66780395870588,19.168172822522397,5.783244946364939,0.0,0.0,0.0,13.344558822616634,40.46074626480571,29.828919765543436,0.0,5.749511833283905,9.636772684650527,0.0,5.749511833283905,0.0,46.243991211170645,4.736862953800049,0.0,23.702547498385453,24.26546827384644,0.0,0.0,0.0,39.97,0.0,4.794537184071822,0.0,5.783244946364939,26.241467516464763,17.857719730893475,4.899909730850478,0.0,45.28454943889144,0.0,9.473725907600098,10.690657824704854,0.0,13.167182624945314,0.0,0.7485261033425719,0.9551425556065716,7.315543745275888,0.5762670068027209,4.624871699347917,4.088475106640829,0.5333333333333333,19,1,4,0,0,0,1,0,1,3,1,4,9,0,0,0,1,0.8191999999999999,75.05520000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
3,3,12.09077061323055,0.2164775878849654,12.09077061323055,0.2164775878849654,0.5307709859388791,292.4429999999999,262.203,292.22710562008996,118,0,0.16799901843831883,-0.4933218251262912,0.4933218251262912,0.16799901843831883,1.1904761904761905,1.9523809523809523,2.5714285714285716,2.491212530854823,440.84450862139147,15.664925939000156,13.998294856802438,13.998294856802438,10.04091255785876,8.099170859144355,8.099170859144355,6.019681174601285,6.019681174601285,3.6044259284169833,3.6044259284169833,2.203628353674908,2.203628353674908,-1.35,38757.585977242925,17.70089058524173,9.561684475146986,6.7626520148197065,128.8456094920103,9.636772684650527,5.749511833283905,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,26.186202068468653,37.107111519698464,5.563451491696996,33.66780395870588,14.431309868722348,5.783244946364939,0.0,0.0,0.0,45.95158251401129,27.246982335779872,29.32600418877882,0.0,5.749511833283905,9.636772684650527,0.0,5.749511833283905,0.0,33.030227282144814,0.0,6.923737199690624,54.94928548178649,18.19910120538483,0.0,0.0,0.0,30.740000000000002,0.0,4.794537184071822,0.0,5.783244946364939,6.4208216229260096,36.4488748100294,24.162374599628507,0.0,25.122838405075452,21.019081165045005,4.736862953800049,5.800874485596708,0.0,13.389015683777,0.0,1.8478004721682575,1.1204433748170224,5.7790777746283695,5.42231988337761,5.846796802163171,4.127004856805195,0.6111111111111112,21,1,3,0,0,0,1,0,1,2,1,3,10,0,0,0,1,2.6714200000000012,87.44120000000007,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
4,4,12.108950885339393,0.13953314344052115,12.108950885339393,0.13953314344052115,0.4013092437653795,328.92900000000003,301.713,328.14963958409004,118,0,0.1694837936530415,-0.33943022043917787,0.33943022043917787,0.1694837936530415,1.2380952380952381,2.0,2.619047619047619,2.491791471290392,448.41629034609736,15.664925939000156,13.376259329811667,14.948684856757847,10.04091255785876,7.78815309564897,9.151716128311685,5.68105759366116,7.256585666251475,3.3596395213764407,4.75241503671053,2.0288112878315823,3.329054052710885,-0.5100000000000001,38159.9722028701,18.538804294777936,10.255243825954407,7.345249623589391,137.79349840035374,4.899909730850478,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,11.761884949391115,37.78714195870117,30.372776435057627,10.45893496721477,32.08355530793429,9.694446914922299,29.146069785988573,0.0,0.0,0.0,43.92332878983845,26.392953978013743,28.78518601082315,0.0,0.0,4.899909730850478,0.0,0.0,23.36282483962363,32.17619892437868,0.0,0.0,49.385833990089495,23.094584680902603,5.022633313741326,0.0,0.0,21.51,0.0,4.794537184071822,0.0,5.783244946364939,17.00690642836433,17.19309348817714,30.583196222554516,0.0,44.05633012013032,6.923737199690624,11.600939890232516,0.0,8.084977162382314,14.544145754323736,0.5901058463508861,0.6604163441343278,1.2581952521851516,5.831297162383471,5.652019307385896,3.0590662052054824,4.09755474342651,0.5882352941176471,21,1,2,0,0,0,1,0,1,2,1,4,10,0,0,0,1,3.729700000000002,92.94320000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
5,5,12.23851908401804,0.11483690383356748,12.23851908401804,0.11483690383356748,0.39561818182615566,359.89700000000005,333.689,359.165206752,134,0,0.16413111039322312,-0.493601051865263,0.493601051865263,0.16413111039322312,1.08,1.88,2.6,1.7204043815692474,655.2005547564311,17.90756662611944,14.763010675759796,15.518939621778252,12.185871848001627,8.942853634028223,9.32081810703745,6.0437996583308875,6.480235438802873,3.948714981234261,4.183812084022,2.519059240803414,2.7093470889426143,-1.9999999999999996,443989.51769931015,19.32638888888889,10.78,7.183673469387755,154.90117209517084,10.05365155780638,5.749511833283905,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,43.85350902716278,48.88539110215728,29.23904910896047,6.606881964512918,9.53140013787187,23.071571111281017,0.0,0.0,0.0,39.02784531432067,18.468426974431825,59.1170213531312,0.0,5.749511833283905,10.05365155780638,5.687386274683562,5.749511833283905,11.600939890232516,18.934883316790433,0.0,0.0,49.385833990089495,48.53093654769288,5.022633313741326,0.0,0.0,38.33,0.0,4.794537184071822,0.0,5.783244946364939,23.551662834276907,24.464601695406394,19.26246486877803,0.0,48.53093654769288,12.240525803696954,16.337802844032566,5.701333950194673,5.939271940511546,12.23851908401804,3.894218294378238,1.6373592613606018,0.9390044027507961,14.904324152019418,5.183654498357031,3.506758860854098,0.0,0.38095238095238093,25,1,3,0,0,0,2,0,2,3,1,4,11,0,0,0,2,5.984000000000005,104.96820000000004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
6,6,12.47547260050694,0.02813669597264501,12.47547260050694,0.02813669597264501,0.4923808603657028,389.3430000000002,361.11900000000014,388.14407553609,140,0,0.1695408850748806,-0.4919762883514013,0.4919762883514013,0.1695408850748806,1.16,1.92,2.64,1.873078129175015,559.8453410761219,18.07070333293597,14.913548948841322,16.42540684087823,12.113392202930193,9.178259049196424,9.934187995214877,6.457146955851138,7.2715472093323505,4.482953478991672,5.09103205269701,2.8988969746614837,3.3761584983028397,-0.8100000000000002,411947.17646510655,20.501282525927213,11.019792063490689,6.779725886429076,159.9247981361479,14.373635638450576,18.839024645109056,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,49.38808184893369,12.487188691387619,11.629818560158606,42.831490549859986,19.168172822522397,28.985124726829973,0.0,0.0,0.0,39.02784531432067,39.45491511127648,27.741452256102868,0.0,5.749511833283905,9.636772684650527,0.0,5.749511833283905,23.20187978046503,45.238160057641416,4.736862953800049,0.0,49.385833990089495,12.13273413692322,10.045266627482652,0.0,0.0,39.97,0.0,4.794537184071822,0.0,5.783244946364939,34.38593353990248,45.689676392615574,17.741552976702497,12.13273413692322,0.0,6.923737199690624,32.67560568806513,11.043098744534312,12.570802797958281,13.87255790159005,0.8582376438229617,0.48394360225980027,0.582321338123557,3.306330467372134,4.987770254634188,7.017159471926938,0.0,0.631578947368421,25,1,4,0,1,1,1,0,1,3,1,6,10,0,1,1,2,3.4404000000000012,101.42920000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
7,7,12.752114859262296,-3.3235980583119384,12.752114859262296,0.014236469215275438,0.4498731818094834,409.5720000000004,376.3080000000002,409.21555495609005,156,0,0.27490320635403404,-0.34555069087994944,0.34555069087994944,0.27490320635403404,1.1428571428571428,1.8214285714285714,2.4285714285714284,2.054342955575284,794.6896424411643,20.733840039752497,17.267009802564043,18.083506383491766,13.24121928777177,10.217508566749382,11.869773793069538,7.761507719570048,9.870656283032073,5.327675623582152,7.107744009930831,3.7652223377774843,5.297758718087667,-1.7299999999999995,1116614.699878372,22.557983816105608,10.163139110533717,6.138518144759647,168.15784211760243,10.216698334856808,0.0,22.165254488695016,0.0,5.907179729351506,0.0,9.589074368143644,8.417796984328938,0.0,0.0,26.186202068468653,43.52793314262446,5.563451491696996,36.7034279229283,22.906781083323057,21.527677812133945,0.0,5.316788604006331,0.0,57.77080318921969,31.93187923039709,28.823088612014207,0.0,0.0,10.216698334856808,0.0,0.0,0.0,52.04010089044247,14.631790320489323,13.847474399381248,60.512736973483484,17.028217612440994,0.0,0.0,0.0,84.75,9.837253136417502,18.00687135247258,0.0,17.443278282463233,54.06175041419851,30.707131005541083,0.0,25.980208536304467,0.0,12.240525803696954,0.0,25.235621404016552,0.0,25.64126984996342,2.7897092317635614,2.039661824733975,0.1893122952594668,3.2710017741664568,4.0518211290298805,8.18853388271196,-3.3235980583119384,0.6190476190476191,28,2,6,0,1,1,1,0,1,4,2,7,10,0,1,1,2,1.24494,109.63170000000007,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0
8,8,12.415905959035538,0.15137743671338577,12.415905959035538,0.15137743671338577,0.3882327643821788,370.9660000000002,341.7340000000001,370.16020426809,134,0,0.16948412558439746,-0.36975277265821743,0.36975277265821743,0.16948412558439746,1.25,2.0416666666666665,2.75,1.7827194439375345,518.0882936087894,17.200459844932894,14.612934745021722,16.1853602719679,11.702708600407234,9.072610146025143,10.43617317868786,6.336323248170407,7.9118513207607215,4.413098972983007,5.805874488317094,2.8656627576364047,4.165905522515707,-0.5500000000000002,279847.0065454671,19.770507190920075,11.140286102550412,6.751788909775496,154.6310967051246,9.636772684650527,13.08951281182515,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,11.761884949391115,37.78714195870117,30.372776435057627,10.45893496721477,31.20197527160575,14.431309868722348,29.146069785988573,0.0,0.0,0.0,43.92332878983845,38.600886753510345,28.78518601082315,0.0,0.0,4.899909730850478,0.0,0.0,23.36282483962363,44.38413169987529,4.736862953800049,0.0,49.385833990089495,23.094584680902603,5.022633313741326,0.0,0.0,30.740000000000002,0.0,4.794537184071822,0.0,5.783244946364939,17.00690642836433,43.49637022902812,30.583196222554516,0.0,29.960986154775945,6.923737199690624,16.337802844032566,5.348013209044737,8.175120720579324,15.02408202891775,0.5930885980935585,0.6663510096672076,1.2664696887413063,5.87475316515495,5.647545955552414,6.6823534020265285,0.0,0.631578947368421,24,1,3,0,1,1,1,0,1,3,1,5,10,0,1,1,2,3.500300000000002,101.64820000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
9,9,12.242992835452771,0.22397758788496525,12.242992835452771,0.22397758788496525,0.5320174910693725,306.46999999999997,274.214,306.24275568408996,124,0,0.1680089802446022,-0.4930424004989587,0.4930424004989587,0.1680089802446022,1.0909090909090908,1.7272727272727273,2.272727272727273,2.6467238648799882,457.3186817649958,16.535169427003233,14.920944587612812,14.920944587612812,10.451596160381719,8.515837525811023,8.515837525811023,6.478571485578379,6.478571485578379,3.878657724433096,3.878657724433096,2.5498683664526776,2.5498683664526776,-1.35,55828.08503758814,18.698426150121062,9.623339340840369,6.184538506369604,135.21055160640688,9.636772684650527,5.749511833283905,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,26.186202068468653,43.52793314262447,5.563451491696996,33.66780395870588,14.431309868722348,5.783244946364939,0.0,0.0,0.0,52.87531971370191,27.246982335779872,28.823088612014207,0.0,5.749511833283905,9.636772684650527,0.0,5.749511833283905,0.0,33.030227282144814,0.0,13.847474399381248,60.512736973483484,12.13273413692322,0.0,0.0,0.0,30.740000000000002,0.0,4.794537184071822,0.0,5.783244946364939,6.4208216229260096,42.0123263017264,24.162374599628507,0.0,25.980208536304467,21.019081165045005,4.736862953800049,5.931661522633745,0.0,13.542832293754323,0.0,2.9459870693379897,1.1742396711133185,3.9478232867220964,5.418289664808701,7.901744968157964,4.137421523471862,0.631578947368421,22,1,3,0,0,0,1,0,1,2,1,3,10,0,0,0,1,2.979840000000001,92.17820000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
