No.,Compound ID,SMILES,Assay ID,LogP app,,,,,,,,,
1,CHEMBL121893,[N@H+]2(CCCCC2)CCC(=O)c1ccc(OCCCCCC)cc1,CHEMBL1034536,-2.67,,,,,,,,,
2,CHEMBL538150,C(=O)(c1cc2c(cc(OCCCCCC)cc2)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.85,,,,,,,,,
3,CHEMBL539139,C(=O)(c1ccc(OCCOCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.8,,,,,,,,,
4,CHEMBL539393,C(=O)(c1cc(C)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.91,,,,,,,,,
5,CHEMBL539718,C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.22,,,,,,,,,
6,CHEMBL540227,C(=O)(c1ccc(OCCCCCC)cc1)CCNc2cc(Cl)ccc2,CHEMBL1034536,-5.7,,,,,,,,,
7,CHEMBL540471,C(=O)(c2c(Cl)cc(OCCCCCC)c(Cl)c2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.75,,,,,,,,,
8,CHEMBL541478,N1C(=O)C[N@H+](CCC(c2c(C)cc(S(=O)(CCCCCC)=O)cc2C)=O)CC1,CHEMBL1034536,-3.32,,,,,,,,,
9,CHEMBL541481,C(=O)(c2c(Cl)cc(SCCCCCC)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.69,,,,,,,,,
10,CHEMBL549482,C(=O)(c1cc(C)c(OCCCCCC)c(C)c1)CC[N@H+](C)C,CHEMBL1034536,-3.14,,,,,,,,,
11,CHEMBL549483,C(=O)(c1c(C)cc(OCCCCCC)cc1C)CC[N@H+](C)C,CHEMBL1034536,-3.19,,,,,,,,,
12,CHEMBL549557,C(=O)(c1cc(S(=O)(C)=O)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.14,,,,,,,,,
13,CHEMBL549561,C(=O)(c1c(C)cc(S(=O)(CCCCCC)=O)cc1C)CC[N@@H+]2CCN(S(=O)(CC)=O)CC2,CHEMBL1034536,-3,,,,,,,,,
14,CHEMBL549562,C(=O)(c1c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.66,,,,,,,,,
15,CHEMBL549685,C(=O)(c1cc(Cc2ccccc2)c(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.64,,,,,,,,,
16,CHEMBL549889,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1Cl)CC[N@H+]2CCN(C(=O)C)CC2,CHEMBL1034536,-3.32,,,,,,,,,
17,CHEMBL550090,C(=O)(c2c(C)cc(S(=O)(CCCCCC)=O)cc2C)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.94,,,,,,,,,
18,CHEMBL550094,C2[C@](C[N@H+](C)C)C(=O)c1ccc(OCCCCCC)cc1O2,CHEMBL1034536,-3.16,,,,,,,,,
19,CHEMBL550295,N1C(=O)C[N@H+](CCC(c2c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc2)=O)CC1,CHEMBL1034536,-2.96,,,,,,,,,
20,CHEMBL550497,C(=O)(c2c(Cl)c(Cl)c(OCCCCCC)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-3.03,,,,,,,,,
21,CHEMBL550752,C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.98,,,,,,,,,
22,CHEMBL550758,C(=O)(c1c(Cl)cc(OCCCCCC)cc1Cl)CC[N@H+](C)C,CHEMBL1034536,-3.16,,,,,,,,,
23,CHEMBL550760,C(=O)(c1c(C)cc(SCCCCCC)cc1C)CC[N@@H+]2CCN(S(=O)(CC)=O)CC2,CHEMBL1034536,-3.8,,,,,,,,,
24,CHEMBL550761,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.42,,,,,,,,,
25,CHEMBL550765,C(=O)(c1ccc(OCCCCCC)cc1)[C@@](C[N@@H+](C)C)[C@@](C)C,CHEMBL1034536,-2.9,,,,,,,,,
26,CHEMBL550766,C(=O)(c2ccc(OCCCCCC)cc2)[C@@](c1ccccc1)C[N@@H+](C)C,CHEMBL1034536,-3.04,,,,,,,,,
27,CHEMBL550767,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)cc2)CC[N@H+]1CCOCC1,CHEMBL1034536,-3.12,,,,,,,,,
28,CHEMBL550768,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1)CC[N@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-3.44,,,,,,,,,
29,CHEMBL550841,C(=O)(c2ccc(OCCCCCC)cc2)CCNc1ccccc1,CHEMBL1034536,-6.7,,,,,,,,,
30,CHEMBL550845,C(=O)(c1c(Cl)cc(OCCCCCC)c(Cl)c1)CC[N@H+](C)C,CHEMBL1034536,-2.98,,,,,,,,,
31,CHEMBL550905,C(=O)(c2c(Cl)cc(OCCCCCC)cc2Cl)CC[N@H+]1CCOCC1,CHEMBL1034536,-6,,,,,,,,,
32,CHEMBL550954,C(=O)(c2c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-3.25,,,,,,,,,
33,CHEMBL551046,N1(CCC(c2ccc(OCCCCCC)cc2)=O)C(=O)CCC1=O,CHEMBL1034536,-2.89,,,,,,,,,
34,CHEMBL551106,C(=O)(c1c(C)cc(OCCCCCC)cc1C)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.81,,,,,,,,,
35,CHEMBL551184,C(=O)(c1cc(OC)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.02,,,,,,,,,
36,CHEMBL551185,C(=O)(c1c(OC)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.98,,,,,,,,,
37,CHEMBL551244,C(=O)(c1ccc(C[C@]2CC[N@@H+](CC)CC2)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.85,,,,,,,,,
38,CHEMBL551385,C(=O)(c2c(Cl)c(Cl)c(SCCCCCC)cc2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-4.52,,,,,,,,,
39,CHEMBL551450,C(=O)(c2ccc(OCCCCCC)cc2)CC[N@@H+]1CC[N@@H+](C)CC1,CHEMBL1034536,-2.64,,,,,,,,,
